Horodateur,Matricule,1/01 AM,2/01 AM,3/01 AM,5/01 AM,8/01 AM,9/01 AM,10/01 AM,11/01 AM,12/01 AM,13/01 AM,15/01 AM,16/01 AM
2021/11/11 7:48:51 PM UTC+1,475828,7,10,10,1,1,1,4,3,8,7,7,6
2021/11/11 7:48:51 PM UTC+1,472694,1,4,8,5,4,5,1,9,5,1,10,3
2021/11/11 7:48:51 PM UTC+1,468169,2,6,9,3,3,7,1,7,6,1,5,5
2021/11/11 7:48:51 PM UTC+1,455864,5,4,3,5,6,6,6,2,9,5,6,4
2021/11/11 7:48:51 PM UTC+1,503095,10,5,10,5,4,3,8,10,1,9,2,9
2021/11/11 7:48:51 PM UTC+1,459009,8,2,3,8,5,6,9,3,2,9,6,10
2021/11/11 7:48:51 PM UTC+1,453326,10,3,2,7,8,8,9,5,8,2,5,9
2021/11/11 7:48:51 PM UTC+1,462765,8,3,7,4,4,8,2,10,2,2,5,2
2021/11/11 7:48:51 PM UTC+1,469566,7,5,4,7,9,8,4,7,1,6,1,6
2021/11/11 7:48:51 PM UTC+1,486669,7,3,3,7,10,8,6,4,8,5,4,6
2021/11/11 7:48:51 PM UTC+1,515696,6,6,4,7,1,6,6,4,1,9,4,8
2021/11/11 7:48:51 PM UTC+1,467628,10,1,10,7,4,9,7,8,9,1,3,8
2021/11/11 7:48:51 PM UTC+1,493618,4,8,9,2,8,2,6,3,8,9,10,10
2021/11/11 7:48:51 PM UTC+1,501431,1,4,1,9,1,2,7,5,2,4,8,7
2021/11/11 7:48:51 PM UTC+1,456837,1,8,9,10,4,6,4,5,10,6,1,4
2021/11/11 7:48:51 PM UTC+1,505975,8,4,2,1,5,3,5,2,5,2,10,10
2021/11/11 7:48:51 PM UTC+1,501946,6,7,5,6,10,8,8,2,1,2,8,5
2021/11/11 7:48:51 PM UTC+1,474403,5,10,10,7,4,5,10,5,10,10,9,3
2021/11/11 7:48:51 PM UTC+1,497955,5,5,9,2,2,6,7,6,10,2,1,7
2021/11/11 7:48:51 PM UTC+1,510116,9,9,3,5,6,9,6,5,3,6,8,2
2021/11/11 7:48:51 PM UTC+1,477311,6,10,7,1,10,8,8,4,8,3,6,5
2021/11/11 7:48:51 PM UTC+1,452804,1,8,4,5,9,6,7,10,6,3,10,7
2021/11/11 7:48:51 PM UTC+1,450596,9,3,4,8,10,10,10,2,6,7,5,6
2021/11/11 7:48:51 PM UTC+1,473734,10,2,5,10,6,6,7,6,4,2,1,5
2021/11/11 7:48:51 PM UTC+1,463039,8,1,10,5,1,10,2,1,8,6,8,9
2021/11/11 7:48:51 PM UTC+1,454633,1,10,5,1,8,4,8,8,8,6,5,6
2021/11/11 7:48:51 PM UTC+1,484061,9,6,7,10,1,5,8,8,1,10,8,10
2021/11/11 7:48:51 PM UTC+1,519104,8,9,2,6,3,3,2,3,4,1,5,4
2021/11/11 7:48:51 PM UTC+1,486091,10,4,7,5,10,1,4,4,1,5,9,3
2021/11/11 7:48:51 PM UTC+1,510914,5,6,6,10,1,3,3,3,8,8,9,3
2021/11/11 7:48:51 PM UTC+1,483073,10,10,5,9,8,5,2,2,5,2,6,4
2021/11/11 7:48:51 PM UTC+1,494809,1,5,9,3,9,1,6,1,5,2,6,8
2021/11/11 7:48:51 PM UTC+1,502624,5,2,3,7,5,9,6,2,7,8,2,4
2021/11/11 7:48:51 PM UTC+1,485549,4,6,5,1,7,9,5,4,9,8,6,3
2021/11/11 7:48:51 PM UTC+1,474639,2,6,4,1,6,5,10,6,4,1,9,3
2021/11/11 7:48:51 PM UTC+1,479109,3,5,6,1,4,5,3,9,10,7,10,10
2021/11/11 7:48:51 PM UTC+1,451607,8,8,4,1,8,7,7,9,8,5,8,5
2021/11/11 7:48:51 PM UTC+1,460209,6,9,8,3,5,2,4,10,6,2,7,9
2021/11/11 7:48:51 PM UTC+1,479143,6,9,2,1,2,10,1,10,3,1,4,5
2021/11/11 7:48:51 PM UTC+1,497768,7,6,6,9,3,3,4,10,8,9,5,10
2021/11/11 7:48:51 PM UTC+1,517715,1,7,1,7,1,2,10,7,1,4,3,9
2021/11/11 7:48:51 PM UTC+1,470037,1,2,5,8,2,5,6,6,8,5,3,8
2021/11/11 7:48:51 PM UTC+1,478744,10,4,2,4,6,6,9,5,2,9,8,4
2021/11/11 7:48:51 PM UTC+1,475761,3,2,10,6,3,3,4,9,1,2,6,5
2021/11/11 7:48:51 PM UTC+1,480705,9,5,9,1,7,3,1,8,7,2,7,10
2021/11/11 7:48:51 PM UTC+1,515357,4,10,6,10,10,3,10,2,1,1,9,8
2021/11/11 7:48:51 PM UTC+1,518805,8,8,5,3,3,9,2,9,1,1,8,10
