Horodateur,Matricule,1/01 AM,2/01 AM,3/01 AM,5/01 AM,8/01 AM,9/01 AM,10/01 AM,11/01 AM,12/01 AM,13/01 AM,15/01 AM,16/01 AM
2021/11/11 7:48:51 PM UTC+1,475828,7,10,10,1,1,1,4,3,8,7,7,6
2021/11/11 7:48:51 PM UTC+1,500970,1,2,1,2,2,2,10,3,8,10,2,4
2021/11/11 7:48:51 PM UTC+1,480241,3,8,2,8,9,9,4,7,7,3,8,7
2021/11/11 7:48:51 PM UTC+1,450866,2,8,10,6,8,7,9,5,4,7,2,3
2021/11/11 7:48:51 PM UTC+1,485515,7,9,4,7,3,8,9,5,3,1,2,8
2021/11/11 7:48:51 PM UTC+1,478806,2,5,6,6,2,10,2,7,2,3,9,5
2021/11/11 7:48:51 PM UTC+1,466724,4,7,3,7,8,10,6,9,2,2,1,4
2021/11/11 7:48:51 PM UTC+1,469705,3,6,4,4,7,10,5,9,6,4,9,9
2021/11/11 7:48:51 PM UTC+1,473126,5,6,8,3,7,2,8,6,2,2,7,1
2021/11/11 7:48:51 PM UTC+1,509002,8,8,9,2,8,2,5,2,2,6,7,1
2021/11/11 7:48:51 PM UTC+1,509989,9,5,1,2,2,8,8,6,1,7,1,3
2021/11/11 7:48:51 PM UTC+1,462405,4,5,4,10,3,3,4,3,2,4,6,3
2021/11/11 7:48:51 PM UTC+1,467140,5,4,8,9,2,7,3,2,8,10,9,2
2021/11/11 7:48:51 PM UTC+1,515040,3,9,5,2,3,5,3,3,9,5,10,2
2021/11/11 7:48:51 PM UTC+1,452773,6,6,5,3,4,3,7,8,6,7,2,3
2021/11/11 7:48:51 PM UTC+1,463419,9,2,2,6,4,1,3,8,1,2,10,4
2021/11/11 7:48:51 PM UTC+1,504199,1,10,10,7,9,8,10,9,1,9,6,2
2021/11/11 7:48:51 PM UTC+1,459852,2,9,5,6,6,4,8,6,6,10,4,6
2021/11/11 7:48:51 PM UTC+1,470398,7,4,2,6,6,1,10,3,6,1,4,6
2021/11/11 7:48:51 PM UTC+1,471784,1,8,8,9,10,5,10,7,10,1,9,9
2021/11/11 7:48:51 PM UTC+1,491678,4,6,2,6,2,1,8,4,2,5,2,2
2021/11/11 7:48:51 PM UTC+1,462169,4,2,3,9,8,10,10,2,9,8,9,6
2021/11/11 7:48:51 PM UTC+1,464633,9,8,3,10,8,1,10,3,3,3,10,4
2021/11/11 7:48:51 PM UTC+1,503096,5,8,5,9,3,5,4,8,1,2,1,2
2021/11/11 7:48:51 PM UTC+1,504392,10,9,7,8,2,5,1,5,2,3,10,7
2021/11/11 7:48:51 PM UTC+1,484574,2,7,2,9,5,6,8,8,6,2,2,10
2021/11/11 7:48:51 PM UTC+1,509119,8,1,10,2,4,5,8,4,5,2,9,10
2021/11/11 7:48:51 PM UTC+1,516036,10,2,5,9,9,3,9,10,5,6,1,8
2021/11/11 7:48:51 PM UTC+1,485770,3,2,6,7,6,1,6,2,1,8,8,3
2021/11/11 7:48:51 PM UTC+1,504174,1,4,5,9,2,6,4,3,8,1,10,7
2021/11/11 7:48:51 PM UTC+1,481697,7,4,10,7,8,2,7,2,4,4,4,4
2021/11/11 7:48:51 PM UTC+1,478135,7,7,3,4,7,5,10,2,4,6,6,3
2021/11/11 7:48:51 PM UTC+1,494466,10,2,3,1,8,5,3,4,5,7,10,1
2021/11/11 7:48:51 PM UTC+1,496882,9,2,4,8,9,8,9,8,9,5,1,1
2021/11/11 7:48:51 PM UTC+1,450845,5,4,9,3,4,7,5,6,5,4,5,1
2021/11/11 7:48:51 PM UTC+1,460850,4,10,5,6,10,8,10,2,7,10,8,4
2021/11/11 7:48:51 PM UTC+1,513169,1,7,1,5,3,9,5,9,9,8,4,8
2021/11/11 7:48:51 PM UTC+1,474443,6,3,10,1,5,8,1,2,5,3,5,9
2021/11/11 7:48:51 PM UTC+1,501781,8,3,9,1,2,7,6,5,7,10,3,7
2021/11/11 7:48:51 PM UTC+1,504733,10,10,8,5,3,1,1,2,8,2,1,4
2021/11/11 7:48:51 PM UTC+1,516300,1,6,10,2,3,5,5,4,10,3,7,8
2021/11/11 7:48:51 PM UTC+1,479048,5,7,10,6,6,3,6,10,9,4,7,5
2021/11/11 7:48:51 PM UTC+1,494802,7,6,4,2,5,6,1,3,2,2,8,3
2021/11/11 7:48:51 PM UTC+1,489276,6,1,7,7,8,9,5,1,5,2,9,6
2021/11/11 7:48:51 PM UTC+1,475663,4,9,4,5,3,4,5,6,6,4,4,10
2021/11/11 7:48:51 PM UTC+1,489099,5,2,6,3,7,6,8,6,2,7,1,3
2021/11/11 7:48:51 PM UTC+1,451312,7,2,1,7,6,2,8,8,8,10,1,1
2021/11/11 7:48:51 PM UTC+1,489616,3,1,6,4,5,1,7,6,3,3,2,1
2021/11/11 7:48:51 PM UTC+1,507031,8,8,7,4,4,8,4,8,10,10,8,9
2021/11/11 7:48:51 PM UTC+1,474931,8,5,4,5,9,3,10,10,4,7,9,7
2021/11/11 7:48:51 PM UTC+1,484324,9,8,2,5,8,3,2,5,7,2,2,6
2021/11/11 7:48:51 PM UTC+1,466176,8,5,1,4,4,2,3,2,3,4,2,9
2021/11/11 7:48:51 PM UTC+1,486858,8,9,10,5,5,3,5,2,5,5,10,8
2021/11/11 7:48:51 PM UTC+1,479768,4,1,3,7,10,2,8,10,3,8,8,1
2021/11/11 7:48:51 PM UTC+1,469842,2,2,4,5,10,6,6,7,6,5,10,1
2021/11/11 7:48:51 PM UTC+1,496447,7,5,6,1,3,7,1,3,1,9,8,1
2021/11/11 7:48:51 PM UTC+1,507649,1,10,2,4,3,8,4,9,1,9,9,4
2021/11/11 7:48:51 PM UTC+1,461620,9,1,10,3,9,6,9,10,5,6,8,8
2021/11/11 7:48:51 PM UTC+1,485947,7,9,10,8,10,10,3,5,8,9,8,4
2021/11/11 7:48:51 PM UTC+1,500367,3,7,10,3,9,2,9,3,1,5,3,8
2021/11/11 7:48:51 PM UTC+1,465184,7,9,6,2,5,10,9,8,3,2,1,4
2021/11/11 7:48:51 PM UTC+1,479345,2,6,7,10,1,8,1,6,5,7,3,3
2021/11/11 7:48:51 PM UTC+1,517462,3,9,3,7,3,10,1,4,5,9,10,6
2021/11/11 7:48:51 PM UTC+1,477795,10,9,1,7,6,6,6,1,8,1,6,4
2021/11/11 7:48:51 PM UTC+1,505243,6,8,6,5,8,5,7,5,9,3,4,9
2021/11/11 7:48:51 PM UTC+1,486589,9,7,9,5,1,2,3,1,8,9,3,3
2021/11/11 7:48:51 PM UTC+1,482614,7,8,4,8,1,9,7,2,2,10,1,9
2021/11/11 7:48:51 PM UTC+1,468117,3,5,6,5,1,5,4,6,2,8,8,3
2021/11/11 7:48:51 PM UTC+1,452965,3,6,2,2,3,2,6,6,9,2,1,8
2021/11/11 7:48:51 PM UTC+1,462254,4,5,2,8,8,1,8,4,6,4,1,6
2021/11/11 7:48:51 PM UTC+1,490904,9,10,2,7,6,6,5,7,6,6,9,2
2021/11/11 7:48:51 PM UTC+1,489063,3,7,8,2,10,6,1,5,8,10,3,7
2021/11/11 7:48:51 PM UTC+1,455464,2,2,9,2,9,2,4,6,9,8,10,10
2021/11/11 7:48:51 PM UTC+1,512430,7,1,8,7,5,6,8,6,1,7,7,4
2021/11/11 7:48:51 PM UTC+1,476096,4,6,7,6,3,9,3,9,7,1,5,2
2021/11/11 7:48:51 PM UTC+1,458509,1,3,1,1,8,10,3,4,3,3,4,9
2021/11/11 7:48:51 PM UTC+1,470935,1,2,2,6,4,2,2,9,7,7,6,1
2021/11/11 7:48:51 PM UTC+1,471479,3,8,2,5,3,6,2,8,2,6,5,5
2021/11/11 7:48:51 PM UTC+1,486143,9,2,7,7,8,5,10,9,3,3,6,4
2021/11/11 7:48:51 PM UTC+1,479566,9,7,5,5,7,9,9,9,7,10,2,7
2021/11/11 7:48:51 PM UTC+1,470659,8,9,7,6,5,2,7,5,4,6,8,6
2021/11/11 7:48:51 PM UTC+1,488866,3,9,2,10,5,4,3,10,7,1,10,3
2021/11/11 7:48:51 PM UTC+1,486526,2,8,1,8,5,10,1,9,10,3,4,6
2021/11/11 7:48:51 PM UTC+1,470304,9,4,6,4,3,7,4,7,9,2,10,6
2021/11/11 7:48:51 PM UTC+1,484829,9,1,3,6,7,1,1,2,2,9,4,9
2021/11/11 7:48:51 PM UTC+1,518357,4,8,6,7,2,10,7,1,1,5,10,6
2021/11/11 7:48:51 PM UTC+1,462125,5,2,3,9,1,7,4,9,5,9,5,9
2021/11/11 7:48:51 PM UTC+1,486289,1,1,9,10,6,1,3,9,8,4,8,10
2021/11/11 7:48:51 PM UTC+1,486155,1,7,8,4,4,5,5,9,5,2,2,6
2021/11/11 7:48:51 PM UTC+1,479641,5,10,6,4,5,3,6,4,7,8,9,5
2021/11/11 7:48:51 PM UTC+1,459336,7,9,7,8,6,7,2,6,6,8,2,5
2021/11/11 7:48:51 PM UTC+1,489703,8,7,2,7,5,7,10,4,1,7,5,2
2021/11/11 7:48:51 PM UTC+1,501798,10,6,6,7,5,3,5,10,10,6,3,6
2021/11/11 7:48:51 PM UTC+1,492638,4,5,7,2,1,3,6,8,1,1,3,5
2021/11/11 7:48:51 PM UTC+1,490956,7,5,6,2,1,1,3,7,10,5,3,8
2021/11/11 7:48:51 PM UTC+1,513142,8,7,10,9,8,1,9,1,6,8,6,7
2021/11/11 7:48:51 PM UTC+1,518574,9,9,5,3,9,7,10,1,9,2,3,8
2021/11/11 7:48:51 PM UTC+1,451301,7,4,7,10,5,10,10,4,8,3,8,8
2021/11/11 7:48:51 PM UTC+1,459343,1,8,9,3,10,9,9,2,4,1,7,1
2021/11/11 7:48:51 PM UTC+1,476254,5,7,2,9,10,1,6,10,6,3,3,1
2021/11/11 7:48:51 PM UTC+1,510283,8,1,4,8,6,5,8,8,2,10,2,9
2021/11/11 7:48:51 PM UTC+1,451525,8,2,4,9,9,4,9,9,4,8,4,1
2021/11/11 7:48:51 PM UTC+1,497290,10,8,9,1,5,9,9,4,8,8,10,2
2021/11/11 7:48:51 PM UTC+1,467016,3,1,3,7,2,2,6,9,3,6,5,8
2021/11/11 7:48:51 PM UTC+1,499625,2,9,8,8,10,3,9,3,9,3,1,3
2021/11/11 7:48:51 PM UTC+1,496362,6,8,1,4,6,1,7,9,10,9,6,2
2021/11/11 7:48:51 PM UTC+1,515520,6,8,5,5,7,9,6,4,2,5,3,9
2021/11/11 7:48:51 PM UTC+1,451557,4,2,7,7,6,6,6,5,6,8,4,4
2021/11/11 7:48:51 PM UTC+1,500377,2,8,4,4,1,9,9,10,6,6,5,2
2021/11/11 7:48:51 PM UTC+1,473969,4,4,9,5,6,1,8,6,2,4,3,9
2021/11/11 7:48:51 PM UTC+1,483391,5,1,6,8,3,6,8,1,3,2,8,2
2021/11/11 7:48:51 PM UTC+1,502277,7,1,4,1,4,6,7,7,3,10,8,10
2021/11/11 7:48:51 PM UTC+1,456034,1,5,2,2,5,5,3,7,7,2,10,4
2021/11/11 7:48:51 PM UTC+1,477221,7,2,6,3,7,3,9,1,10,9,3,10
2021/11/11 7:48:51 PM UTC+1,497044,2,7,9,2,9,3,8,4,1,5,4,1
2021/11/11 7:48:51 PM UTC+1,475178,7,2,10,3,10,5,10,8,10,9,2,3
2021/11/11 7:48:51 PM UTC+1,478274,6,10,4,5,6,3,8,5,1,4,4,2
2021/11/11 7:48:51 PM UTC+1,483741,9,2,10,5,4,2,5,2,1,6,4,2
