Horodateur,Matricule,1/01 AM,2/01 AM,3/01 AM,5/01 AM,8/01 AM,9/01 AM,10/01 AM,11/01 AM,12/01 AM,13/01 AM,15/01 AM,16/01 AM
2021/11/11 7:48:51 PM UTC+1,475828,7,10,10,1,1,1,4,3,8,7,7,6
2021/11/11 7:48:51 PM UTC+1,515389,2,2,2,7,8,4,5,4,4,1,6,10
2021/11/11 7:48:51 PM UTC+1,518238,6,7,7,4,6,5,7,1,7,5,5,4
2021/11/11 7:48:51 PM UTC+1,479030,10,7,9,5,8,9,9,2,7,9,4,9
2021/11/11 7:48:51 PM UTC+1,488843,4,5,4,3,9,4,4,6,7,9,2,7
2021/11/11 7:48:51 PM UTC+1,517813,6,2,9,8,4,10,2,8,8,7,6,6
2021/11/11 7:48:51 PM UTC+1,513180,2,2,4,4,10,6,7,1,5,4,2,4
2021/11/11 7:48:51 PM UTC+1,474560,3,7,6,4,1,8,5,5,1,8,2,5
2021/11/11 7:48:51 PM UTC+1,470250,8,7,9,2,9,8,4,6,3,5,10,8
2021/11/11 7:48:51 PM UTC+1,467138,8,9,9,8,1,10,1,3,1,10,1,3
2021/11/11 7:48:51 PM UTC+1,453530,10,10,7,1,1,1,8,1,9,9,7,6
2021/11/11 7:48:51 PM UTC+1,461829,8,8,5,6,6,7,7,7,3,2,6,1
2021/11/11 7:48:51 PM UTC+1,480307,5,6,10,3,6,5,10,6,1,8,10,6
2021/11/11 7:48:51 PM UTC+1,456908,10,8,5,4,5,8,2,5,5,2,10,10
2021/11/11 7:48:51 PM UTC+1,489288,8,6,6,10,1,1,7,8,9,6,10,9
2021/11/11 7:48:51 PM UTC+1,483522,10,9,6,2,3,3,2,4,5,2,2,9
2021/11/11 7:48:51 PM UTC+1,490080,6,7,1,1,8,10,9,4,7,3,4,8
2021/11/11 7:48:51 PM UTC+1,511445,10,9,6,9,1,2,1,1,8,1,4,1
2021/11/11 7:48:51 PM UTC+1,519193,8,1,10,3,2,8,7,10,3,9,7,4
2021/11/11 7:48:51 PM UTC+1,491753,5,2,9,6,5,8,8,5,1,3,7,6
2021/11/11 7:48:51 PM UTC+1,452010,7,2,8,5,4,2,2,9,2,10,8,9
2021/11/11 7:48:51 PM UTC+1,483351,6,7,9,9,2,2,9,5,2,7,3,6
2021/11/11 7:48:51 PM UTC+1,452964,5,6,4,4,4,2,6,4,2,1,10,5
