Horodateur,Matricule,1/01 AM,2/01 AM,3/01 AM,5/01 AM,8/01 AM,9/01 AM,10/01 AM,11/01 AM,12/01 AM,13/01 AM,15/01 AM,16/01 AM
2021/11/11 7:48:51 PM UTC+1,475828,7,10,10,1,1,1,4,3,8,7,7,6
2021/11/11 7:48:51 PM UTC+1,510985,1,8,2,7,4,7,8,10,4,2,9,5
2021/11/11 7:48:51 PM UTC+1,466285,6,2,7,8,6,2,5,3,5,10,4,1
2021/11/11 7:48:51 PM UTC+1,481783,7,3,6,8,8,5,8,2,5,7,3,10
2021/11/11 7:48:51 PM UTC+1,474046,8,3,6,9,5,10,3,9,1,9,4,2
2021/11/11 7:48:51 PM UTC+1,511306,7,5,9,2,9,9,2,4,6,6,7,1
2021/11/11 7:48:51 PM UTC+1,481580,5,10,6,8,4,8,8,2,8,2,7,10
2021/11/11 7:48:51 PM UTC+1,479212,6,7,8,2,1,7,6,1,10,2,10,7
2021/11/11 7:48:51 PM UTC+1,461123,7,9,3,5,5,5,6,1,7,10,5,10
2021/11/11 7:48:51 PM UTC+1,517204,5,10,5,7,2,9,2,3,5,1,3,4
2021/11/11 7:48:51 PM UTC+1,479392,10,8,2,2,10,5,6,7,4,9,5,3
2021/11/11 7:48:51 PM UTC+1,516979,9,3,10,9,9,3,8,6,8,5,3,9
2021/11/11 7:48:51 PM UTC+1,496480,6,3,7,3,10,10,9,4,7,4,4,9
2021/11/11 7:48:51 PM UTC+1,499901,10,6,2,1,9,2,2,9,4,3,4,2
2021/11/11 7:48:51 PM UTC+1,495480,5,2,4,6,2,7,10,9,4,2,2,6
2021/11/11 7:48:51 PM UTC+1,506828,2,2,9,6,8,4,5,2,1,3,5,5
2021/11/11 7:48:51 PM UTC+1,498452,6,6,9,6,4,10,1,1,3,6,8,9
2021/11/11 7:48:51 PM UTC+1,460076,6,4,10,6,4,10,7,2,8,7,9,9
2021/11/11 7:48:51 PM UTC+1,479504,7,10,10,10,3,10,7,10,9,5,9,7
2021/11/11 7:48:51 PM UTC+1,466470,4,7,4,5,10,9,7,9,4,5,4,7
2021/11/11 7:48:51 PM UTC+1,463039,5,9,5,7,7,1,6,9,3,4,3,5
2021/11/11 7:48:51 PM UTC+1,482264,6,4,6,1,2,9,9,7,7,10,5,10
2021/11/11 7:48:51 PM UTC+1,516694,5,5,4,6,6,5,5,5,8,8,6,8
2021/11/11 7:48:51 PM UTC+1,499691,4,9,9,8,3,6,7,5,5,9,8,2
2021/11/11 7:48:51 PM UTC+1,512225,2,10,5,1,5,7,2,9,8,3,3,2
2021/11/11 7:48:51 PM UTC+1,465886,9,9,6,3,2,1,7,6,8,4,10,4
2021/11/11 7:48:51 PM UTC+1,473259,1,8,7,2,1,6,2,9,6,6,7,3
2021/11/11 7:48:51 PM UTC+1,487604,3,2,1,9,4,9,4,2,7,8,9,9
2021/11/11 7:48:51 PM UTC+1,513587,2,3,6,4,9,1,4,6,7,3,5,10
2021/11/11 7:48:51 PM UTC+1,464727,7,3,8,3,5,6,3,1,8,9,10,3
2021/11/11 7:48:51 PM UTC+1,461504,1,1,7,8,5,1,10,3,3,2,6,6
2021/11/11 7:48:51 PM UTC+1,484805,3,1,3,10,5,7,3,8,9,6,4,3
2021/11/11 7:48:51 PM UTC+1,491146,9,8,1,3,4,8,8,7,2,4,3,9
2021/11/11 7:48:51 PM UTC+1,474313,4,2,6,2,10,1,4,2,2,5,10,6
2021/11/11 7:48:51 PM UTC+1,470799,4,5,3,2,1,10,9,2,7,2,1,4
2021/11/11 7:48:51 PM UTC+1,494447,1,10,9,4,6,7,8,3,9,6,10,4
2021/11/11 7:48:51 PM UTC+1,490119,1,8,9,5,2,10,1,7,5,5,9,10
2021/11/11 7:48:51 PM UTC+1,469202,3,1,8,6,5,10,10,2,4,2,4,10
2021/11/11 7:48:51 PM UTC+1,509697,6,5,5,10,5,2,9,9,9,9,5,7
2021/11/11 7:48:51 PM UTC+1,462276,5,9,10,7,3,6,4,7,4,6,1,7
2021/11/11 7:48:51 PM UTC+1,455554,1,10,4,5,8,9,5,1,10,5,1,3
2021/11/11 7:48:51 PM UTC+1,519061,5,6,9,5,9,8,10,8,7,6,3,5
2021/11/11 7:48:51 PM UTC+1,487710,2,1,7,2,3,8,3,10,6,9,1,6
2021/11/11 7:48:51 PM UTC+1,453486,2,3,3,5,1,7,10,2,2,5,7,3
2021/11/11 7:48:51 PM UTC+1,468351,8,1,1,8,9,10,9,3,1,4,7,3
2021/11/11 7:48:51 PM UTC+1,513569,1,8,7,2,10,10,6,5,10,5,7,1
2021/11/11 7:48:51 PM UTC+1,490132,5,10,1,7,10,10,1,3,10,1,8,4
2021/11/11 7:48:51 PM UTC+1,511306,3,5,7,2,1,2,6,7,7,6,10,6
2021/11/11 7:48:51 PM UTC+1,517593,6,8,5,4,5,10,10,3,1,9,2,3
2021/11/11 7:48:51 PM UTC+1,474160,3,1,7,3,7,7,1,1,9,1,2,6
